zip_code_tabulation_area	B24091_001E
07010	53308
07011	39711
07012	63160
07013	61879
07014	61288
07016	76546
07017	39216
07018	42223
07020	83287
07021	127396
07022	45149
07023	99430
07024	68750
07026	46091
07027	67929
07028	112446
07029	42914
07030	88203
07031	57354
07032	44118
07033	64784
07034	60376
07035	61542
07036	45723
07039	102522
07040	85716
07041	102339
07042	76951
07043	116406
07044	79310
07045	107217
07046	120677
07047	42871
07050	38010
07052	65851
07054	64292
07055	28748
07057	51203
07058	78909
07059	97406
07060	35845
07062	41334
07063	37272
07064	55462
07065	51439
07066	65332
07067	60642
07068	78045
07069	82358
07070	69766
07071	59244
07072	59097
07073	60403
07074	50799
07075	67037
07076	82604
07077	58441
07078	178177
07079	94813
07080	59038
07081	75536
07082	73580
07083	56547
07086	67588
07087	30840
07088	51591
07090	114056
07092	101519
07093	37104
07094	74443
07095	59203
07102	37464
07103	34367
07104	36487
07105	34426
07106	34443
07107	34296
07108	36205
07109	45849
07110	68291
07111	37475
07112	36587
07114	29297
07201	30323
07202	32703
07203	42793
07204	54028
07205	43675
07206	29206
07208	35680
07302	88076
07304	39129
07305	47268
07306	49845
07307	47006
07310	99199
07311	149097
07401	113917
07403	54876
07405	74494
07407	52835
07410	73734
07416	48474
07417	104205
07418	59722
07419	63551
07420	50664
07421	61563
07422	56389
07423	114583
07424	55919
07430	78970
07432	75148
07435	98750
07436	74397
07438	73818
07439	56607
07440	67922
07442	59184
07444	67966
07446	95907
07450	115931
07452	123810
07456	71988
07457	77785
07458	117524
07460	56682
07461	55197
07462	62035
07463	74167
07465	61496
07470	73977
07480	67550
07481	107374
07495	-666666666
07501	28540
07502	36936
07503	32322
07504	38980
07505	29228
07506	65329
07508	50324
07512	60614
07513	30129
07514	32132
07522	31081
07524	31555
07601	49100
07603	54368
07604	60586
07605	65815
07606	42375
07607	60112
07608	33750
07620	79375
07621	52317
07624	80868
07626	94538
07627	103103
07628	61387
07630	74861
07631	55020
07632	93333
07640	85182
07641	94667
07642	85938
07643	51000
07644	43507
07645	92768
07646	59474
07647	60750
07648	91851
07649	92313
07650	46168
07652	71695
07656	73074
07657	50403
07660	58073
07661	72972
07662	55457
07663	61699
07666	65938
07670	107219
07675	77456
07676	82606
07677	108819
07701	62000
07702	103750
07703	-666666666
07704	104028
07711	71250
07712	51718
07716	82500
07717	72375
07718	56519
07719	61753
07720	57468
07721	52154
07722	111389
07723	58846
07724	61741
07726	80951
07727	62188
07728	67534
07730	62858
07731	64996
07732	54669
07733	104196
07734	52753
07735	54375
07737	62096
07738	82861
07739	107964
07740	41995
07746	100877
07747	69017
07748	76442
07750	99911
07751	98931
07753	51640
07755	64952
07756	62373
07757	78381
07758	62904
07760	122632
07762	60265
07764	70412
07801	38149
07803	57197
07820	-666666666
07821	73180
07822	73542
07823	54203
07825	58830
07826	58990
07827	48700
07828	57756
07830	91125
07832	61071
07833	22216
07834	83537
07836	74847
07838	61062
07840	63349
07842	78750
07843	56804
07846	121250
07847	60577
07848	63478
07849	65409
07850	60290
07851	53438
07852	79099
07853	99336
07856	75400
07857	50727
07860	57009
07863	67216
07865	54509
07866	67731
07869	85257
07870	-666666666
07871	86148
07874	62258
07876	83263
07878	79764
07880	92517
07881	-666666666
07882	64183
07885	55369
07901	103486
07920	114513
07921	81734
07922	112183
07924	84493
07926	-666666666
07927	72143
07928	132330
07930	101573
07931	119643
07932	93457
07933	92443
07934	88864
07935	72500
07936	75845
07939	-666666666
07940	102589
07945	123724
07946	116771
07950	89257
07960	75668
07961	-666666666
07970	94722
07974	105750
07976	103207
07977	56397
07979	86302
07980	90938
07981	74345
08001	50046
08002	54965
08003	84483
08004	53658
08005	53966
08006	63036
08007	58704
08008	70363
08009	59131
08010	44309
08011	-666666666
08012	51845
08014	63011
08015	43923
